timestamp,key_dwell,mouse_x,mouse_y,scroll_dx,scroll_dy,idle_seconds,event_type
2026-02-25 00:56:28.538314,0,1635,1079,0,0,0.013524532318115234,move
2026-02-25 00:56:28.579230,0,1636,1079,0,0,0.04091668128967285,move
2026-02-25 00:56:28.586235,0,1638,1079,0,0,0.007004737854003906,move
2026-02-25 00:56:28.593223,0,1642,1079,0,0,0.006988048553466797,move
2026-02-25 00:56:28.600007,0,1645,1078,0,0,0.006784200668334961,move
2026-02-25 00:56:28.606739,0,1648,1078,0,0,0.00673222541809082,move
2026-02-25 00:56:28.613129,0,1652,1077,0,0,0.006389617919921875,move
2026-02-25 00:56:28.620133,0,1656,1077,0,0,0.0070040225982666016,move
2026-02-25 00:56:28.626784,0,1663,1077,0,0,0.006651163101196289,move
2026-02-25 00:56:28.638789,0,1669,1075,0,0,0.012005329132080078,move
2026-02-25 00:56:28.640789,0,1675,1075,0,0,0.0019998550415039062,move
2026-02-25 00:56:28.647670,0,1681,1076,0,0,0.006880283355712891,move
2026-02-25 00:56:28.654703,0,1688,1076,0,0,0.007033824920654297,move
2026-02-25 00:56:28.661702,0,1696,1076,0,0,0.006999015808105469,move
2026-02-25 00:56:28.668701,0,1705,1077,0,0,0.006998300552368164,move
2026-02-25 00:56:28.674522,0,1718,1077,0,0,0.0058214664459228516,move
2026-02-25 00:56:28.681505,0,1731,1080,0,0,0.006982326507568359,move
2026-02-25 00:56:28.688772,0,1753,1087,0,0,0.0072672367095947266,move
2026-02-25 00:56:28.695815,0,1778,1091,0,0,0.007042646408081055,move
2026-02-25 00:56:28.701831,0,1807,1098,0,0,0.006016731262207031,move
2026-02-25 00:56:28.708831,0,1838,1103,0,0,0.006999969482421875,move
2026-02-25 00:56:28.716154,0,1860,1092,0,0,0.007323026657104492,move
2026-02-25 00:56:28.723181,0,1881,1089,0,0,0.0070264339447021484,move
2026-02-25 00:56:28.729661,0,1902,1090,0,0,0.0064809322357177734,move
2026-02-25 00:56:28.736837,0,1914,1083,0,0,0.007175445556640625,move
2026-02-25 00:56:28.743245,0,1922,1082,0,0,0.0064084529876708984,move
2026-02-25 00:56:28.749359,0,1925,1080,0,0,0.006113290786743164,move
2026-02-25 00:56:29.922861,0.14742565155029297,1925,1080,0,0,1.1735024452209473,key
2026-02-25 00:56:30.937511,0.12447714805603027,1925,1080,0,0,1.0146501064300537,key
2026-02-25 00:56:31.906490,0.09707283973693848,1925,1080,0,0,0.9689791202545166,key
2026-02-25 00:56:32.085051,0.023548603057861328,1925,1080,0,0,0.17856049537658691,key
2026-02-25 00:56:32.909213,0.10553979873657227,1925,1080,0,0,0.8241617679595947,key
2026-02-25 00:56:33.083485,0.12458634376525879,1925,1080,0,0,0.17427277565002441,key
2026-02-25 00:56:33.169354,3.604675054550171,1925,1080,0,0,0.08586883544921875,key
2026-02-25 00:56:33.647959,0,1900,1020,0,0,0.4786050319671631,move
2026-02-25 00:56:33.654239,0,1881,953,0,0,0.0062792301177978516,move
2026-02-25 00:56:33.661239,0,1868,887,0,0,0.00700068473815918,move
2026-02-25 00:56:33.668011,0,1860,818,0,0,0.0067713260650634766,move
2026-02-25 00:56:33.674460,0,1853,772,0,0,0.006449460983276367,move
2026-02-25 00:56:33.681460,0,1848,729,0,0,0.006999492645263672,move
2026-02-25 00:56:33.688379,0,1846,698,0,0,0.006919145584106445,move
2026-02-25 00:56:33.695738,0,1844,667,0,0,0.00735926628112793,move
2026-02-25 00:56:33.702058,0,1841,646,0,0,0.00632023811340332,move
2026-02-25 00:56:33.709061,0,1837,631,0,0,0.007002592086791992,move
2026-02-25 00:56:33.715561,0,1834,613,0,0,0.006500244140625,move
2026-02-25 00:56:33.722668,0,1828,599,0,0,0.00710749626159668,move
2026-02-25 00:56:33.729481,0,1825,586,0,0,0.006812334060668945,move
2026-02-25 00:56:33.736486,0,1824,583,0,0,0.007005214691162109,move
2026-02-25 00:56:33.742487,0,1823,579,0,0,0.006001472473144531,move
2026-02-25 00:56:33.750029,0,1821,571,0,0,0.007541179656982422,move
2026-02-25 00:56:33.757035,0,1817,565,0,0,0.007006406784057617,move
2026-02-25 00:56:33.763542,0,1815,557,0,0,0.006506919860839844,move
2026-02-25 00:56:33.770314,0,1812,550,0,0,0.006772279739379883,move
2026-02-25 00:56:33.996821,0,1764,520,0,0,0.22650647163391113,move
2026-02-25 00:56:34.003830,0,1701,476,0,0,0.007009029388427734,move
2026-02-25 00:56:34.010826,0,1636,423,0,0,0.00699615478515625,move
2026-02-25 00:56:34.017618,0,1569,369,0,0,0.006792545318603516,move
2026-02-25 00:56:34.023926,0,1504,313,0,0,0.006307840347290039,move
2026-02-25 00:56:34.031094,0,1443,263,0,0,0.0071680545806884766,move
